Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
11674.0,152.72,220.91,170.93,3,1,1.057610259978134,1.0813500173737869
11814.0,153.8,222.36,172.11,3,1,1.091291795125716,1.1224948900529608
11954.0,154.89,223.82,173.3,3,1,1.1249733302732978,1.1639884480938223
12104.0,156.06,225.38,174.59,3,1,1.1610606893599926,1.2089688597515627
12244.0,157.16,226.83,175.79,3,1,1.1947422245075743,1.2508111031541116
12394.0,158.34,228.39,177.08,3,1,1.230829583594269,1.295791514811853
12534.0,159.46,229.85,178.29,3,1,1.264511118741851,1.3379824435760896
12674.0,160.57,231.3,179.5,3,1,1.2981926538894328,1.3801733723403273
12824.0,161.78,232.86,180.81,3,1,1.3342800129761276,1.4258511547214439
12964.0,162.91,234.32,182.03,3,1,1.3679615481237093,1.468390768847369
13114.0,164.1,235.9,183.31,3,1,1.404048907210404,1.513022495143422
13254.0,165.19,237.35,184.48,3,1,1.437730442357986,1.553818682460907
13394.0,166.27,238.8,185.65,3,1,1.4714119775055678,1.5946148697783933
13544.0,167.44,240.36,186.91,3,1,1.5074993365922627,1.63854922535107
13684.0,168.53,241.82,188.09,3,1,1.5411808717398445,1.679694098030244
13834.0,169.71,243.38,189.37,3,1,1.577268230826539,1.7243258243262967
13974.0,170.81,244.83,190.57,3,1,1.610949765974121,1.7661680677288456
14114.0,171.92,246.29,191.77,3,1,1.6446313011217029,1.8080103111313957
14264.0,173.11,247.84,193.06,3,1,1.6807186602083977,1.852990722789136
14400.0,174.2,249.26,194.24,3,1,1.7134378657803342,1.89413559546831
